"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "XML", "JSON with Comments", "comment", "blank", "total"
"/home/haywae/projects/wxc/wxc-client/src/components/settings/deleteAccountModal.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 2, 6, 66
"/home/haywae/projects/wxc/wxc-client/src/components/settings/profileSettings.tsx", "TypeScript JSX", 0, -53, 0, 0, 0, 0, 0, -6, -59
"/home/haywae/projects/wxc/wxc-client/src/components/userProfile/liveRatesTab.css", "PostCSS", 0, 0, 0, 103, 0, 0, 10, 20, 133
"/home/haywae/projects/wxc/wxc-client/src/components/userProfile/liveRatesTab.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 3, 4, 49
"/home/haywae/projects/wxc/wxc-client/src/configs/appConfig.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 0, -1
"/home/haywae/projects/wxc/wxc-client/src/configs/authTypes.ts", "TypeScript", -9, 0, 0, 0, 0, 0, -1, -1, -11
"/home/haywae/projects/wxc/wxc-client/src/configs/notificationsTypes.ts", "TypeScript", -19, 0, 0, 0, 0, 0, -2, -1, -22
"/home/haywae/projects/wxc/wxc-client/src/configs/postsTypes.ts", "TypeScript", -19, 0, 0, 0, 0, 0, -6, -2, -27
"/home/haywae/projects/wxc/wxc-client/src/configs/settingsTypes.ts", "TypeScript", -7, 0, 0, 0, 0, 0, 0, 0, -7
"/home/haywae/projects/wxc/wxc-client/src/configs/userTypes.ts", "TypeScript", -18, 0, 0, 0, 0, 0, -1, -4, -23
"/home/haywae/projects/wxc/wxc-client/src/data/countries.ts", "TypeScript", -13, 0, 0, 0, 0, 0, -1, 0, -14
"/home/haywae/projects/wxc/wxc-client/src/main.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 1, 1, 34
"/home/haywae/projects/wxc/wxc-client/src/pages/accountManagementPage.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 3, 27
"/home/haywae/projects/wxc/wxc-client/src/pages/authPages/login.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, -1, 0, 0
"/home/haywae/projects/wxc/wxc-client/src/pages/authPages/register.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 4, 4, 7
"/home/haywae/projects/wxc/wxc-client/src/pages/createPostPage.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 27, 11, 105
"/home/haywae/projects/wxc/wxc-client/src/pages/dashboard.tsx", "TypeScript JSX", 0, -20, 0, 0, 0, 0, 0, -5, -25
"/home/haywae/projects/wxc/wxc-client/src/pages/errorPage.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 1, 4, 28
"/home/haywae/projects/wxc/wxc-client/src/pages/exchangePage.tsx", "TypeScript JSX", 0, 177, 0, 0, 0, 0, 37, 35, 249
"/home/haywae/projects/wxc/wxc-client/src/pages/home.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 2, 5, 32
"/home/haywae/projects/wxc/wxc-client/src/pages/notificationsPage.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, -1, 2, 13
"/home/haywae/projects/wxc/wxc-client/src/pages/postDetailPage.tsx", "TypeScript JSX", 0, 99, 0, 0, 0, 0, 2, 15, 116
"/home/haywae/projects/wxc/wxc-client/src/pages/profileSettingsPage.tsx", "TypeScript JSX", 0, 128, 0, 0, 0, 0, 6, 18, 152
"/home/haywae/projects/wxc/wxc-client/src/pages/searchPage.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 0, 9, 11, 90
"/home/haywae/projects/wxc/wxc-client/src/pages/securityPrivacyPage.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 3, 37
"/home/haywae/projects/wxc/wxc-client/src/pages/settingsPage.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 12, 1, 24
"/home/haywae/projects/wxc/wxc-client/src/pages/singlePostPage.tsx", "TypeScript JSX", 0, -42, 0, 0, 0, 0, -4, -11, -57
"/home/haywae/projects/wxc/wxc-client/src/pages/userProfilePage.tsx", "TypeScript JSX", 0, 76, 0, 0, 0, 0, 4, 9, 89
"/home/haywae/projects/wxc/wxc-client/src/slices/auth/authSlice.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 6, 83
"/home/haywae/projects/wxc/wxc-client/src/slices/comments/commentsSlice.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 1, 5, 97
"/home/haywae/projects/wxc/wxc-client/src/slices/exchange/exchangeSlice.ts", "TypeScript", 194, 0, 0, 0, 0, 0, 61, 19, 274
"/home/haywae/projects/wxc/wxc-client/src/slices/exchange/localStorageMiddleware.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 14, 4, 42
"/home/haywae/projects/wxc/wxc-client/src/slices/notification/notificationSlice.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 24
"/home/haywae/projects/wxc/wxc-client/src/slices/posts/postsSlice.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 5, 3, 61
"/home/haywae/projects/wxc/wxc-client/src/slices/search/searchSlice.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 15, 8, 147
"/home/haywae/projects/wxc/wxc-client/src/slices/settings/settingsSlice.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 1, 2, 20
"/home/haywae/projects/wxc/wxc-client/src/slices/user/resgitrationSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, 0, -1
"/home/haywae/projects/wxc/wxc-client/src/slices/user/userProfileSlice.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 3, 0, 30
"/home/haywae/projects/wxc/wxc-client/src/store.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
